station,fecha_de_inicio,total_pax
Constitucion,2024-01-07 15:00:00,750.0
Constitucion,2024-01-07 16:00:00,1735.0
Constitucion,2024-01-07 17:00:00,772.0
Constitucion,2024-01-07 18:00:00,1451.0
Constitucion,2024-01-07 19:00:00,694.0
Constitucion,2024-01-07 20:00:00,1111.0
Constitucion,2024-01-07 21:00:00,367.0
Constitucion,2024-01-07 22:00:00,293.0
Constitucion,2024-01-08 05:00:00,239.0
Constitucion,2024-01-08 06:00:00,4554.0
Constitucion,2024-01-08 07:00:00,5905.0
Constitucion,2024-01-08 08:00:00,10724.0
Constitucion,2024-01-08 09:00:00,4994.0
Constitucion,2024-01-08 10:00:00,4960.0
Constitucion,2024-01-08 11:00:00,2035.0
Constitucion,2024-01-08 12:00:00,3768.0
Constitucion,2024-01-08 13:00:00,2069.0
Constitucion,2024-01-08 14:00:00,3108.0
Constitucion,2024-01-08 15:00:00,1435.0
Constitucion,2024-01-08 16:00:00,2358.0
Constitucion,2024-01-08 17:00:00,1352.0
Constitucion,2024-01-08 18:00:00,1935.0
Constitucion,2024-01-08 19:00:00,844.0
Constitucion,2024-01-08 20:00:00,1111.0
Constitucion,2024-01-08 21:00:00,391.0
Constitucion,2024-01-08 22:00:00,436.0
Constitucion,2024-01-08 23:00:00,72.0
Constitucion,2024-01-09 05:00:00,212.0
Constitucion,2024-01-09 06:00:00,4360.0
Constitucion,2024-01-09 07:00:00,5306.0
Constitucion,2024-01-09 08:00:00,10604.0
Constitucion,2024-01-09 09:00:00,5274.0
Constitucion,2024-01-09 10:00:00,3060.0
Constitucion,2024-01-09 11:00:00,2716.0
Constitucion,2024-01-09 12:00:00,3716.0
Constitucion,2024-01-09 13:00:00,1757.0
Constitucion,2024-01-09 14:00:00,2904.0
Constitucion,2024-01-09 15:00:00,1330.0
Constitucion,2024-01-09 16:00:00,2199.0
Constitucion,2024-01-09 17:00:00,1291.0
Constitucion,2024-01-09 18:00:00,1816.0
Constitucion,2024-01-09 19:00:00,807.0
Constitucion,2024-01-09 20:00:00,1088.0
Constitucion,2024-01-09 21:00:00,418.0
Constitucion,2024-01-09 22:00:00,436.0
Constitucion,2024-01-09 23:00:00,99.0
Constitucion,2024-01-10 05:00:00,291.0
Constitucion,2024-01-10 06:00:00,5056.0
Constitucion,2024-01-10 07:00:00,6033.0
Constitucion,2024-01-10 08:00:00,11573.0
Constitucion,2024-01-10 09:00:00,5804.0
Constitucion,2024-01-10 10:00:00,5515.0
Constitucion,2024-01-10 11:00:00,2335.0
Constitucion,2024-01-10 12:00:00,3559.0
Constitucion,2024-01-10 13:00:00,1849.0
Constitucion,2024-01-10 14:00:00,2848.0
Constitucion,2024-01-10 15:00:00,1377.0
Constitucion,2024-01-10 16:00:00,2365.0
